"Y/c(u/Uinf), created by Plot Digitizer, 2.6.8"
"Date: 07/10/16, 16:05:28"


35
u/Uinf,Y/c
0.00229591,-0.000125263,
0.0605403,0.00534657,
0.115713,0.00982165,
0.173934,0.0127997,
0.229110,0.0177735,
0.272027,0.0217529,
0.305746,0.0247371,
0.324141,0.0267275,
0.357855,0.0292129,
0.394627,0.0311988,
0.422206,0.0326882,
0.440597,0.0341799,
0.471244,0.0361673,
0.498832,0.0386542,
0.529469,0.0396441,
0.553990,0.0416330,
0.584637,0.0436204,
0.624467,0.0451067,
0.679635,0.0490831,
0.707228,0.0520687,
0.756256,0.0545503,
0.802226,0.0575314,
0.845133,0.0605133,
0.918686,0.0654825,
0.964670,0.0699599,
1.01370,0.0729402,
1.04438,0.0784189,
1.08732,0.0848921,
1.11801,0.0908696,
1.13950,0.0963506,
1.16099,0.102330,
1.17027,0.111804,
1.17957,0.123274,
1.17975,0.143224,
1.18016,0.186616,
