"CP(X/C), created by Plot Digitizer, 2.6.8"
"Date: 16/10/16, 22:29:24"


26
X/C,CP
0.00743079,-0.957561,
0.0211284,-0.962037,
0.0327514,-0.962072,
0.0452044,-0.963587,
0.0701086,-0.974010,
0.0950114,-0.990347,
0.119500,-1.00077,
0.150636,-0.991990,
0.182193,-0.955121,
0.212503,-0.924162,
0.244478,-0.873987,
0.276461,-0.791286,
0.308445,-0.704149,
0.339600,-0.609616,
0.370753,-0.522477,
0.402322,-0.435338,
0.433889,-0.355593,
0.465038,-0.289152,
0.497011,-0.249327,
0.528568,-0.212458,
0.559706,-0.190372,
0.622811,-0.156553,
0.685080,-0.144909,
0.748178,-0.139182,
0.873956,-0.138075,
0.966932,-0.178270,
