u/U,y/c
0.000470657,0.000247309
-0.100647,0.000883323
-0.139032,0.00127422
-0.205501,0.00228167
-0.233118,0.00274583
-0.25371,0.00351265
-0.291597,0.00694876
-0.30421,0.0096168
-0.301837,0.0128138
-0.291997,0.0136486
-0.278877,0.0147871
-0.253568,0.0175973
-0.230605,0.0198752
-0.202019,0.0226084
-0.174852,0.0239716
-0.155646,0.0251085
-0.121923,0.0266222
-0.0807113,0.0279055
-0.0399688,0.0291127
-0.00999563,0.0301706
0.0452615,0.0315263
0.109881,0.0328034
0.150623,0.0339345
0.21852,0.0352868
0.270033,0.0367196
0.342608,0.03769
0.399268,0.0388169
0.460611,0.040171
0.51493,0.0413747
0.575336,0.0426528
0.643701,0.0439289
0.706916,0.0452063
0.772938,0.0462546
0.857221,0.0476026
0.930268,0.0488774
0.999568,0.0500009
1.16205,0.0533075
1.26087,0.0564026
1.31427,0.0595099
1.33022,0.062551
1.327,0.0687948
1.32426,0.0751146
1.31777,0.0812071
1.31081,0.0874519
1.30197,0.0937733
1.26624,0.124769
1.24402,0.149823
1.23987,0.156448
1.21678,0.187364
