Urms,y/c
0,0
2.20762,0.000683006
3.16217,0.00105279
3.284,0.00122676
3.37707,0.0017163
3.48356,0.00322956
3.59663,0.00433024
3.72079,0.00542806
3.78289,0.00623376
3.958,0.00752385
4.12424,0.00871352
4.27277,0.00990777
4.44789,0.0113006
4.61633,0.012387
4.7848,0.0136788
5.02412,0.0148496
5.16158,0.0161494
5.30347,0.0174481
5.4387,0.018543
5.55844,0.0198474
5.66935,0.0212568
5.78685,0.0223563
5.92653,0.0236556
6.05953,0.0246484
6.19699,0.0259482
6.32557,0.0270449
6.39882,0.028464
6.44549,0.0297873
6.48331,0.0312156
6.51217,0.0318244
6.54551,0.032843
6.5856,0.0346815
6.53257,0.0357224
6.48847,0.0372745
6.44432,0.0385185
6.37361,0.0397694
6.32505,0.0411173
6.26541,0.042468
6.16384,0.0449594
6.05786,0.0476574
5.92303,0.0498493
5.77938,0.0523516
5.65566,0.0548488
5.51867,0.0574521
5.43464,0.0585009
5.34843,0.0598585
5.26221,0.0611134
5.18485,0.062366
5.10968,0.0634126
5.0146,0.0646697
4.92175,0.066029
4.84438,0.0672816
4.74268,0.0686432
4.65201,0.0697965
4.54366,0.0711598
4.42645,0.0725254
4.31584,0.0735811
4.20084,0.0748434
3.41096,0.0811077
2.60119,0.0875826
1.95968,0.0937058
1.57066,0.0999693
1.12184,0.106248
0.9277,0.112461
0.79115,0.118762
0.65236,0.124859
0.577829,0.131246
0.512169,0.137734
0.45976,0.143911
0.402897,0.149883
0.379301,0.156258
0.276714,0.187202
0.253846,0.199637
