X/C,Y/C
0.00268666,0.000248199
0.0172811,0.00211246
0.0372278,0.00335021
0.0564059,0.00446356
0.07482,0.00570207
0.0886388,0.00706764
0.10092,0.00818444
0.116269,0.00942448
0.13545,0.0106626
0.157693,0.0117744
0.187611,0.0135063
0.212169,0.0154903
0.234426,0.0173508
0.253623,0.0194623
0.268211,0.0209522
0.288169,0.0228138
0.30813,0.0248002
0.325792,0.0267877
0.356478,0.0286439
0.390229,0.0304986
0.417084,0.0323568
0.441638,0.0340913
0.470028,0.0360734
0.494579,0.0376832
0.52374,0.0399145
0.548289,0.0413995
0.587407,0.0433763
0.621924,0.0452306
0.654912,0.0472105
0.680996,0.0488195
0.704022,0.0508043
0.731647,0.0529116
0.761565,0.0546434
0.789191,0.0567507
0.810684,0.0587363
0.832168,0.0602228
0.859785,0.0618311
0.88817,0.0635637
0.935754,0.0675326
0.960312,0.0695166
0.983338,0.0715014
1.00024,0.0736141
1.01406,0.0752292
1.02712,0.077219
1.04249,0.0792077
1.05631,0.0809475
1.07321,0.0829354
1.0832,0.0846772
1.09549,0.0861683
1.1055,0.0885339
1.11243,0.0902773
1.12319,0.0921434
1.13242,0.0940104
1.13936,0.096128
1.14552,0.0977469
1.15402,0.101361
1.15942,0.103355
1.16328,0.105099
1.16562,0.10697
1.16795,0.108965
1.16875,0.110587
1.17032,0.112707
1.17342,0.114577
1.17499,0.116448
1.17503,0.118444
1.17582,0.120066
1.17739,0.122061
1.17666,0.124058
1.17831,0.130296
1.17919,0.136284
1.17932,0.142772
1.1802,0.14926
1.17955,0.155124
1.17968,0.161862
1.17979,0.1681
1.18068,0.174712
1.18156,0.180451
1.18092,0.187064
