"Y/C(u/U), created by Plot Digitizer, 2.6.8"
"Date: 16/10/16, 20:38:09"


41
u/U,Y/C
0.000387836,0.000249346,
0.208822,0.000519630,
0.368219,0.00106393,
0.473201,0.00113630,
0.528392,0.00210692,
0.571327,0.00333319,
0.595867,0.00431910,
0.623509,0.00729978,
0.648862,0.0107807,
0.668078,0.0138903,
0.685008,0.0177498,
0.700404,0.0214852,
0.716562,0.0249707,
0.735030,0.0290788,
0.750421,0.0325647,
0.761991,0.0365516,
0.778915,0.0400367,
0.795079,0.0438965,
0.810466,0.0471328,
0.838167,0.0532327,
0.865099,0.0592082,
0.891258,0.0648098,
0.923066,0.0719474,
0.952839,0.0795851,
0.981578,0.0865579,
0.999829,0.0927041,
1.01833,0.0985590,
1.03225,0.105165,
1.04616,0.111396,
1.05622,0.116881,
1.07092,0.124360,
1.07793,0.130470,
1.08189,0.136956,
1.08890,0.143191,
1.09209,0.149553,
1.09450,0.155541,
1.09768,0.161903,
1.09780,0.168266,
1.09869,0.174878,
1.09804,0.180992,
1.10123,0.187479,
