Urms,y/c
2.04E-05,0.000136988
0.708165,0.000456295
2.90326,0.0013914
3.16701,0.00301866
3.24959,0.00395096
3.26895,0.00545164
3.27797,0.00668168
3.28698,0.00791172
3.2975,0.00934677
3.2977,0.0106482
3.30686,0.0128371
3.31154,0.0146165
3.3162,0.016259
3.32238,0.0182434
3.32858,0.0202963
3.34379,0.0235793
3.35325,0.0277545
3.36997,0.031311
3.38819,0.035004
3.39879,0.036987
3.40517,0.0402728
3.40403,0.0425335
3.39843,0.0444533
3.39577,0.0463721
3.39165,0.0483598
3.38184,0.0516508
3.3677,0.0555598
3.36215,0.057822
3.3494,0.0611824
3.33937,0.0630351
3.33082,0.0649558
3.3178,0.0664669
3.29455,0.0685294
3.26243,0.0703207
3.21269,0.0723916
3.17464,0.0739109
3.13374,0.0760475
3.10013,0.0777023
3.06361,0.079632
3.02564,0.0816307
2.97879,0.0834267
2.9349,0.0852218
2.88808,0.0871549
2.84421,0.0891555
2.79739,0.0910885
2.74909,0.0929535
2.68312,0.0948243
2.62452,0.0966926
2.51905,0.10022
2.45456,0.102159
2.39304,0.104234
2.32852,0.105898
2.25669,0.107976
2.20103,0.109844
2.13506,0.111715
2.0794,0.113582
2.02962,0.115379
1.98429,0.117449
1.94037,0.119107
1.89209,0.121109
1.83937,0.122975
1.79401,0.124839
1.60652,0.131133
1.44257,0.137351
1.24332,0.143785
1.08379,0.15007
0.968419,0.156272
0.854528,0.162542
0.759753,0.168669
0.685587,0.174789
0.629106,0.181041
0.585884,0.187356
0.52882,0.199567
