X,Y,Z,V[i]
0,0,0,0
0,0.01,0,213.84
0,0.02,0,423.36
0,0.03,0,628.56
0,0.04,0,829.44
0,0.05,0,1026
0,0.06,0,1218.24
0,0.07,0,1406.16
0,0.08,0,1589.76
0,0.09,0,1769.04
0,0.1,0,1944
0,0.11,0,2114.64
0,0.12,0,2280.96
0,0.13,0,2442.96
0,0.14,0,2600.64
0,0.15,0,2754
0,0.16,0,2903.04
0,0.17,0,3047.76
0,0.18,0,3188.16
0,0.19,0,3324.24
0,0.2,0,3456
0,0.21,0,3583.44
0,0.22,0,3706.56
0,0.23,0,3825.36
0,0.24,0,3939.84
0,0.25,0,4050
0,0.26,0,4155.84
0,0.27,0,4257.36
0,0.28,0,4354.56
0,0.29,0,4447.44
0,0.3,0,4536
0,0.31,0,4620.24
0,0.32,0,4700.16
0,0.33,0,4775.76
0,0.34,0,4847.04
0,0.35,0,4914
0,0.36,0,4976.64
0,0.37,0,5034.96
0,0.38,0,5088.96
0,0.39,0,5138.64
0,0.4,0,5184
0,0.41,0,5225.04
0,0.42,0,5261.76
0,0.43,0,5294.16
0,0.44,0,5322.24
0,0.45,0,5346
0,0.46,0,5365.44
0,0.47,0,5380.56
0,0.48,0,5391.36
0,0.49,0,5397.84
0,0.5,0,5400
0,0.51,0,5397.84
0,0.52,0,5391.36
0,0.53,0,5380.56
0,0.54,0,5365.44
0,0.55,0,5346
0,0.56,0,5322.24
0,0.57,0,5294.16
0,0.58,0,5261.76
0,0.59,0,5225.04
0,0.6,0,5184
0,0.61,0,5138.64
0,0.62,0,5088.96
0,0.63,0,5034.96
0,0.64,0,4976.64
0,0.65,0,4914
0,0.66,0,4847.04
0,0.67,0,4775.76
0,0.68,0,4700.16
0,0.69,0,4620.24
0,0.7,0,4536
0,0.71,0,4447.44
0,0.72,0,4354.56
0,0.73,0,4257.36
0,0.74,0,4155.84
0,0.75,0,4050
0,0.76,0,3939.84
0,0.77,0,3825.36
0,0.78,0,3706.56
0,0.79,0,3583.44
0,0.8,0,3456
0,0.81,0,3324.24
0,0.82,0,3188.16
0,0.83,0,3047.76
0,0.84,0,2903.04
0,0.85,0,2754
0,0.86,0,2600.64
0,0.87,0,2442.96
0,0.88,0,2280.96
0,0.89,0,2114.64
0,0.9,0,1944
0,0.91,0,1769.04
0,0.92,0,1589.76
0,0.93,0,1406.16
0,0.94,0,1218.24
0,0.95,0,1026
0,0.96,0,829.44
0,0.97,0,628.56
0,0.98,0,423.36
0,0.99,0,213.84
0,1,0,0
